id,parent,branch_condition,normalization_or_localization,open_condition,vanishing_complement,source_locator,inherited_hypotheses,status,computational_leaf,candidate
AUDIT-RQ-FRONTIER,Q4-RANK3,"(deg h,deg A,deg G)=(4,1,0) but tangent-syzygy preclassification not verified",frontier orbit reduction,frontier theorem hypotheses verified,unclassified orbit remains here; line/conic/cubic degeneration -> earlier owner,Program 2 rational-quartic frontier,AUDIT-LEAD-FACT accepted; proper rational quartic,open,,routing interface
S3-QUARTIC,Q4-RANK3,proper rational quartic in one of two tangent-syzygy types,"normalize type (3,(1,2)) or (2,(2,2))",selected tangent-syzygy pivot nonzero,pivot zero -> AUDIT-RQ-FRONTIER or degenerate curve owner,Program 2 rational-quartic terminal checks,AUDIT-RQ-FRONTIER discharged,conditional,CW-RATIONAL-QUARTIC,
S2-R0,Q4-RANK2,R=(H3)_3=0,straighten the resulting quadratic coordinate,quadratic coordinate differential nonzero,differential zero -> Q4-RANK1 or singular coordinate audit,packet Proposition quartic-r-zero-repair,span two; R=0; plane theorem hypotheses,conditional,CW-PLANE-DEGREE,
S2-RNZ,Q4-RANK2,R!=(0),weighted leading relation,R nonzero,S2-R0,Program 2 four-loci setup,span two; R nonzero,split,,
AUDIT-FOUR-LOCI,S2-RNZ,four-loci exhaustiveness not verified,weighted one-variable field and valuation reduction,localizing coefficient nonzero,coefficient zero -> named binary/quadratic/fourth-power/fixed child or remains here,packet proofs/10-structural-repairs-and-z2.tex,span two; R nonzero; all overlap ownership required,open,,routing interface
S2-BINARY,S2-RNZ,"P,Q,R lie in a two-variable subring",linear source normalization,selected 2-plane minor nonzero,minor zero -> Q4-RANK1 or nonbinary owner,Program 2 binary-pencil source,AUDIT-FOUR-LOCI accepted; binary common generator,split,,
S2-QUAD-SOURCE,S2-RNZ,genuinely nonbinary quadratic-source owner,quadratic-source chart normalization,selected chart minor nonzero,minor zero -> adjacent chart/Q4-RANK1/fixed owner,Program 2 nine quadratic-source charts,AUDIT-FOUR-LOCI accepted; exact chart hypotheses,conditional,CW-QUAD-SOURCE,
S2-FOURTH-POWER,S2-RNZ,primitive coprime pencil contains a fourth power,send fourth power to x^4 and normalize companion,companion coefficient/pivot nonzero,zero pivot -> S2-ZERO-MINOR; common factor -> S2-BINARY-FIXED,Program 2 fourth-power theorem,AUDIT-FOUR-LOCI accepted; primitive coprime,conditional,CW-FOURTH-POWER,
S2-NONBINARY-FIXED,S2-RNZ,fixed factor with nonbinary special-fiber component,"normalize endpoint to (x^4,xR,0)",x does not divide R,x|R -> S2-BINARY-FIXED or rank degeneration; binary generator -> S2-BINARY,packet homogeneous-cubic-centralizer repair,"AUDIT-FOUR-LOCI accepted; corrected valuation identity; R not in k[x,l]",conditional,CW-CENTRALIZER,
S2-BINARY-FIXED,S2-BINARY,"gcd(P,Q)=G nonconstant",extract full homogeneous gcd,leading gcd coefficient nonzero,G=1 -> S2-BINARY-COPRIME; deg G=4 -> Q4-RANK1,Program 2 fixed-factor bundles,binary pencil; full gcd extracted,split,,
S2-BINARY-FIXED-G123,S2-BINARY-FIXED,"deg G in {1,2,3}",fixed-factor chart normalization,selected bundle pivot nonzero,pivot/minor zero -> adjacent fixed-factor group; extra gcd -> Q4-RANK1,2026-07-29 fixed-factor archive,binary fixed factor; exact group hypotheses,conditional,CW-BINARY-FIXED,
S2-BINARY-COPRIME,S2-BINARY,"gcd(P,Q)=1",Hilbert-Burch normalization,selected pivot minor nonzero,S2-ZERO-MINOR,Program 2 coprime binary setup,binary primitive/coprime pencil,split,,
S2-ZERO-MINOR,S2-BINARY-COPRIME,selected Hilbert-Burch minor=0,alternate zero-minor normal form,alternate pivot nonzero,all pivots zero -> Q4-RANK1 or common-factor owner,Program 2 zero-minor theorem,binary coprime pencil; specified minor vanishes,conditional,CW-ZERO-MINOR,
S2-ALL-MINORS,S2-BINARY-COPRIME,all required Hilbert-Burch minors nonzero,normalize by selected nonzero pivot,product of pivots nonzero,S2-ZERO-MINOR,Program 2 ramification setup,binary coprime pencil; all-minors chart,split,,
S2-RLE2,S2-ALL-MINORS,"ramification r in {0,1,2}",ramification point normalization,discriminant/pivot nonzero,discriminant zero -> r>=3; pivot zero -> S2-ZERO-MINOR,Program 2 regular/simple/double ramification bundles,all-minors chart; exact r,conditional,CW-RLE2,
S2-R3-25,S2-ALL-MINORS,"r=3 and Hilbert-Burch type (2,5)",ordered ramification normalization,type determinant nonzero,type determinant zero -> S2-R3-34 or S2-ZERO-MINOR,Program 2 r=3 routing,all-minors chart; r=3,conditional,CW-RLE2,
S2-R3-34,S2-ALL-MINORS,"r=3 and Hilbert-Burch type (3,4)",weighted-inflection normalization,selected inflection/pivot denominator nonzero,denominator zero -> alternate pivot or exceptional divisor; tau=-1 -> S2-R3-TAUM1,Program 2 exceptional F3/F4 systems,"all-minors chart; r=3; type (3,4)",split,,
S2-R3-TAUM1,S2-R3-34,tau=-1,projective first-normal stratification,selected resultant factor nonzero,factor zero -> its saturated projective stratum; zero amplitude -> S2-R0,packet proofs/60-tau-minus-one.tex,"r=3; type (3,4); tau=-1; unrestricted next layer as stated",conditional,CW-TAU-MINUS-ONE,
Q4-F4,S2-R3-34,exceptional weighted-inflection family F4,"work over Q(tau)[d]/(q4(d,tau))",q4 irreducible and selected denominator nonzero,q4/discriminant/denominator zero -> separately saturated exceptional strata; lower normal zero -> S2-R0,Program 2 quartic frontier appendix,"r=3; type (3,4); F4 relation; unrestricted binary H3,H2; solve D6 then D5",open,CW-Q4-F4,terminal quartic candidate
S2-R4,S2-ALL-MINORS,ramification r=4,projective repeated-root normalization,selected endpoint/internal chart coordinate nonzero,coordinate zero -> 3+1/internal 2+2/endpoint sibling; pivot zero -> S2-ZERO-MINOR,packet proofs/50-high-ramification.tex,all-minors chart; primitive binary; r=4,conditional,CW-R4,
S2-R5,S2-ALL-MINORS,ramification r=5,aligned fifth-root normalization,leading aligned coefficient nonzero,coefficient zero -> r<=4 or Q4-RANK1,packet proofs/50-high-ramification.tex,all-minors chart; primitive binary; r=5; cubic-coordinate and plane theorem,conditional,CW-R5,
AUDIT-QUAD-XW,S2-QUAD-SOURCE,public per-chart proof-code data absent,none,none,supply exact script names hashes commands outputs and identities,public packet omission,nine quadratic-source mathematical charts,open,,evidence interface
AUDIT-BINARY-FIXED-XW,S2-BINARY-FIXED-G123,public 38-group proof-code data absent,none,none,supply per-group manifest hashes commands outputs and theorem attachment,public packet omission,"binary fixed factors g=1,2,3",open,,evidence interface
D56-BASEPOINT,,"degree-five/six fixed-factor locus V(G,A,B) nonempty","for D=5 (g,e)=(1,2): G=z; p=[1:0:0]; A=xy+z*l1; B=y^2+z*l2",residual restrictions of A and B on z=0 are independent after removing their unique common linear factor,constant ratio/double common factor -> binary/rank-degenerate owner; no basepoint -> basepoint-free theorem,degree-five-six-fixed-factor appendix,"D=5; g=1; e=2; A,B regular sequence; ratio nonconstant on G",open,CW-D56-NORMAL-FORM,degree-five boundary not quartic
